url,title,inc,day,part,language,newtitle
https://youtu.be/aD3cke8KrMc,INC-5: Conversation with Observers,5,NA,1,NA,INC-5-Day-NA-Part-1-NA
https://youtu.be/3G0N-Y8DeYA?si=7jG9bYKaMoy3S5rn,INC-4: Conversation with Observers,4,NA,1,NA,INC-4-Day-NA-Part-1-NA
https://www.youtube.com/watch?v=-OZ1DR8Sn70,Day 1 Plenary - INC-2 - Original language,2,1,1,NA,INC-2-Day-1-Part-1-NA
https://youtu.be/oLHn1xT3SjQ,INC-2 Day 1: Plenary 1/2 - Arabic,2,1,1,Arabic,INC-2-Day-1-Part-1-Arabic
https://youtube.com/live/NadBwglkcZI,INC-2 Day 1: Plenary 1/2 - Chinese,2,1,1,Chinese,INC-2-Day-1-Part-1-Chinese
https://youtu.be/gcFnKP-ziDs,INC-2 Day 1: Plenary 1/2 - English,2,1,1,English,INC-2-Day-1-Part-1-English
https://youtu.be/Jyuc_zIVUg4,INC-2 Day 1: Plenary 1/2 - French,2,1,1,French,INC-2-Day-1-Part-1-French
https://youtu.be/oBTMXxTOkm0,INC-2 Day 1: Plenary 1/2 - Russian,2,1,1,Russian,INC-2-Day-1-Part-1-Russian
https://youtu.be/-H2ei3hX5r8,INC-2 Day 1: Plenary 1/2 - Spanish,2,1,1,Spanish,INC-2-Day-1-Part-1-Spanish
https://youtu.be/C8mojvYXsbw,INC-2 Day 1: Plenary 2/2 - Arabic,2,1,2,Arabic,INC-2-Day-1-Part-2-Arabic
https://youtu.be/GUDqh5hHR9c,INC-2 Day 1: Plenary 2/2 - Chinese,2,1,2,Chinese,INC-2-Day-1-Part-2-Chinese
https://youtu.be/6W7VBp1GFic,INC-2 Day 1: Plenary 2/2 - English,2,1,2,English,INC-2-Day-1-Part-2-English
https://youtu.be/cEOGQxMczug,INC-2 Day 1: Plenary 2/2 - French,2,1,2,French,INC-2-Day-1-Part-2-French
https://youtu.be/N1P8EZ3ZXlc,INC-2 Day 1: Plenary 2/2 - Russian,2,1,2,Russian,INC-2-Day-1-Part-2-Russian
https://youtu.be/6L3dQanotr8,INC-2 Day 1: Plenary 2/2 - Spanish,2,1,2,Spanish,INC-2-Day-1-Part-2-Spanish
https://www.youtube.com/watch?v=iv2YqonIm9I,Day 2 INC 2 Plenary - Original language,2,2,1,NA,INC-2-Day-2-Part-1-NA
